date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-30,AL,Anadia,city,1,1,TRUE,17545,2700201,5.69963,1
2020-04-30,AL,Arapiraca,city,18,0,TRUE,231747,2700300,7.76709,NA
2020-04-30,AL,Atalaia,city,1,0,TRUE,47185,2700409,2.11932,NA
2020-04-30,AL,Barra de Santo Antônio,city,1,0,TRUE,15932,2700508,6.27668,NA
2020-04-30,AL,Barra de São Miguel,city,4,0,TRUE,8322,2700607,48.06537,NA
2020-04-30,AL,Batalha,city,2,0,TRUE,18232,2700706,10.96972,NA
2020-04-30,AL,Boca da Mata,city,1,0,TRUE,27281,2701001,3.66555,NA
2020-04-30,AL,Branquinha,city,1,0,TRUE,10494,2701100,9.52925,NA
2020-04-30,AL,Capela,city,1,0,TRUE,17053,2701704,5.86407,NA
2020-04-30,AL,Coruripe,city,2,0,TRUE,56933,2702306,3.5129,NA
2020-04-30,AL,Delmiro Gouveia,city,1,0,TRUE,52016,2702405,1.92249,NA
2020-04-30,AL,Ibateguara,city,1,1,TRUE,15616,2703007,6.40369,1
2020-04-30,AL,Importados/Indefinidos,city,11,2,TRUE,NA,NA,NA,0.1818
2020-04-30,AL,Junqueiro,city,2,0,TRUE,24727,2704005,8.08832,NA
2020-04-30,AL,Lagoa da Canoa,city,1,1,TRUE,17852,2704104,5.60161,1
2020-04-30,AL,Limoeiro de Anadia,city,1,1,TRUE,28635,2704203,3.49223,1
2020-04-30,AL,Maceió,city,853,32,TRUE,1018948,2704302,83.71379,0.0375
2020-04-30,AL,Maragogi,city,5,1,TRUE,32704,2704500,15.28865,0.2
2020-04-30,AL,Marechal Deodoro,city,30,2,TRUE,51901,2704708,57.80235,0.0667
2020-04-30,AL,Maribondo,city,2,1,TRUE,13264,2704807,15.07841,0.5
2020-04-30,AL,Matriz de Camaragibe,city,1,1,TRUE,24642,2705101,4.05811,1
2020-04-30,AL,Murici,city,20,1,TRUE,28236,2705507,70.83156,0.05
2020-04-30,AL,Novo Lino,city,1,0,TRUE,12690,2705606,7.88022,NA
2020-04-30,AL,Olho d'Água das Flores,city,1,0,TRUE,21688,2705705,4.61084,NA
2020-04-30,AL,Palestina,city,1,0,TRUE,5011,2706208,19.9561,NA
2020-04-30,AL,Palmeira dos Índios,city,11,0,TRUE,73218,2706307,15.02363,NA
2020-04-30,AL,Paripueira,city,1,1,TRUE,13176,2706448,7.58956,1
2020-04-30,AL,Paulo Jacinto,city,1,0,TRUE,7564,2706604,13.22052,NA
2020-04-30,AL,Penedo,city,1,0,TRUE,63683,2706703,1.57028,NA
2020-04-30,AL,Piaçabuçu,city,2,0,TRUE,17827,2706802,11.21894,NA
2020-04-30,AL,Pilar,city,4,0,TRUE,35111,2706901,11.39244,NA
2020-04-30,AL,Porto Calvo,city,2,0,TRUE,27165,2707305,7.36241,NA
2020-04-30,AL,Porto Real do Colégio,city,1,0,TRUE,20066,2707503,4.98355,NA
2020-04-30,AL,Rio Largo,city,24,0,TRUE,75120,2707701,31.94888,NA
2020-04-30,AL,Santa Luzia do Norte,city,5,0,TRUE,7296,2707909,68.5307,NA
2020-04-30,AL,São Miguel dos Campos,city,5,0,TRUE,61251,2708600,8.16313,NA
2020-04-30,AL,São Miguel dos Milagres,city,2,1,TRUE,7951,2708709,25.15407,0.5
2020-04-30,AL,São Sebastião,city,3,0,TRUE,34152,2708808,8.78426,NA
2020-04-30,AL,Satuba,city,12,0,TRUE,13828,2708907,86.78045,NA
2020-04-30,AL,Taquarana,city,2,0,TRUE,19980,2709103,10.01001,NA
2020-04-30,AL,União dos Palmares,city,5,0,TRUE,65611,2709301,7.62067,NA
2020-04-30,AL,Viçosa,city,1,1,TRUE,25733,2709400,3.88606,1
2020-04-30,AP,Amapá,city,2,0,TRUE,9109,1600105,21.95631,NA
2020-04-30,AP,Importados/Indefinidos,city,0,0,TRUE,NA,NA,NA,NA
2020-04-30,AP,Itaubal,city,3,0,TRUE,5503,1600253,54.51572,NA
2020-04-30,AP,Laranjal do Jari,city,52,3,TRUE,50410,1600279,103.15414,0.0577
2020-04-30,AP,Macapá,city,827,26,TRUE,503327,1600303,164.3067,0.0314
2020-04-30,AP,Mazagão,city,13,0,TRUE,21632,1600402,60.09615,NA
2020-04-30,AP,Oiapoque,city,23,1,TRUE,27270,1600501,84.34177,0.0435
2020-04-30,AP,Pedra Branca do Amapari,city,4,0,TRUE,16502,1600154,24.23949,NA
2020-04-30,AP,Porto Grande,city,8,0,TRUE,21971,1600535,36.41163,NA
2020-04-30,AP,Santana,city,129,4,TRUE,121364,1600600,106.29182,0.031
2020-04-30,AP,Serra do Navio,city,7,0,TRUE,5397,1600055,129.70169,NA
2020-04-30,AP,Tartarugalzinho,city,7,0,TRUE,17315,1600709,40.42738,NA
2020-04-30,AP,Vitória do Jari,city,5,0,TRUE,15931,1600808,31.38535,NA
2020-04-30,PA,Abaetetuba,city,26,0,TRUE,157698,1500107,16.48721,NA
2020-04-30,PA,Acará,city,2,0,TRUE,55591,1500206,3.5977,NA
2020-04-30,PA,Afuá,city,1,0,TRUE,39218,1500305,2.54985,NA
2020-04-30,PA,Água Azul do Norte,city,1,0,TRUE,27430,1500347,3.64564,NA
2020-04-30,PA,Alenquer,city,2,0,TRUE,56789,1500404,3.52181,NA
2020-04-30,PA,Almeirim,city,2,1,TRUE,34109,1500503,5.86356,0.5
2020-04-30,PA,Altamira,city,12,0,TRUE,114594,1500602,10.47175,NA
2020-04-30,PA,Anajás,city,0,0,TRUE,29277,1500701,NA,NA
2020-04-30,PA,Ananindeua,city,294,11,TRUE,530598,1500800,55.40918,0.0374
2020-04-30,PA,Anapu,city,7,0,TRUE,27890,1500859,25.0986,NA
2020-04-30,PA,Augusto Corrêa,city,12,1,TRUE,45998,1500909,26.08809,0.0833
2020-04-30,PA,Aurora do Pará,city,4,0,TRUE,31338,1500958,12.76406,NA
2020-04-30,PA,Bagre,city,3,0,TRUE,30673,1501105,9.78059,NA
2020-04-30,PA,Baião,city,1,0,TRUE,47446,1501204,2.10766,NA
2020-04-30,PA,Barcarena,city,17,1,TRUE,124680,1501303,13.63491,0.0588
2020-04-30,PA,Belém,city,1605,129,TRUE,1492745,1501402,107.52004,0.0804
2020-04-30,PA,Benevides,city,31,2,TRUE,62737,1501501,49.41263,0.0645
2020-04-30,PA,Bom Jesus do Tocantins,city,1,0,TRUE,16981,1501576,5.88893,NA
2020-04-30,PA,Bonito,city,1,0,TRUE,16286,1501600,6.14024,NA
2020-04-30,PA,Bragança,city,35,4,TRUE,127686,1501709,27.41099,0.1143
2020-04-30,PA,Breves,city,35,6,TRUE,102701,1501808,34.07951,0.1714
2020-04-30,PA,Bujaru,city,8,0,TRUE,29132,1501907,27.46121,NA
2020-04-30,PA,Cachoeira do Arari,city,7,1,TRUE,23767,1502004,29.4526,0.1429
2020-04-30,PA,Cametá,city,11,1,TRUE,137890,1502103,7.97737,0.0909
2020-04-30,PA,Canaã dos Carajás,city,4,1,TRUE,37085,1502152,10.78603,0.25
2020-04-30,PA,Capanema,city,26,2,TRUE,69027,1502202,37.66642,0.0769
2020-04-30,PA,Capitão Poço,city,3,0,TRUE,54303,1502301,5.52456,NA
2020-04-30,PA,Castanhal,city,79,3,TRUE,200793,1502400,39.344,0.038
2020-04-30,PA,Colares,city,1,0,TRUE,12085,1502608,8.27472,NA
2020-04-30,PA,Conceição do Araguaia,city,1,0,TRUE,47864,1502707,2.08925,NA
2020-04-30,PA,Concórdia do Pará,city,3,0,TRUE,33318,1502756,9.00414,NA
2020-04-30,PA,Curionópolis,city,1,1,TRUE,17929,1502772,5.57756,1
2020-04-30,PA,Curralinho,city,5,0,TRUE,34448,1502806,14.51463,NA
2020-04-30,PA,Curuçá,city,7,0,TRUE,40066,1502905,17.47117,NA
2020-04-30,PA,Dom Eliseu,city,1,0,TRUE,59719,1502939,1.67451,NA
2020-04-30,PA,Garrafão do Norte,city,4,0,TRUE,26066,1503077,15.34566,NA
2020-04-30,PA,Goianésia do Pará,city,4,0,TRUE,40475,1503093,9.88264,NA
2020-04-30,PA,Igarapé-Açu,city,12,1,TRUE,38807,1503200,30.92226,0.0833
2020-04-30,PA,Igarapé-Miri,city,5,1,TRUE,62698,1503309,7.97474,0.2
2020-04-30,PA,Importados/Indefinidos,city,0,0,TRUE,NA,NA,NA,NA
2020-04-30,PA,Inhangapi,city,4,0,TRUE,11711,1503408,34.15592,NA
2020-04-30,PA,Ipixuna do Pará,city,2,0,TRUE,64053,1503457,3.12241,NA
2020-04-30,PA,Irituia,city,3,0,TRUE,32550,1503507,9.21659,NA
2020-04-30,PA,Itaituba,city,7,0,TRUE,101247,1503606,6.91379,NA
2020-04-30,PA,Jacundá,city,1,0,TRUE,59155,1503804,1.69047,NA
2020-04-30,PA,Juruti,city,5,2,TRUE,57943,1503903,8.62917,0.4
2020-04-30,PA,Limoeiro do Ajuru,city,2,1,TRUE,28935,1504000,6.91204,0.5
2020-04-30,PA,Mãe do Rio,city,5,0,TRUE,30077,1504059,16.624,NA
2020-04-30,PA,Marabá,city,36,6,TRUE,279349,1504208,12.88711,0.1667
2020-04-30,PA,Maracanã,city,9,0,TRUE,29473,1504307,30.53642,NA
2020-04-30,PA,Marapanim,city,8,1,TRUE,28336,1504406,28.23264,0.125
2020-04-30,PA,Marituba,city,44,1,TRUE,131521,1504422,33.45473,0.0227
2020-04-30,PA,Melgaço,city,1,0,TRUE,27654,1504505,3.61611,NA
2020-04-30,PA,Mocajuba,city,4,0,TRUE,31136,1504604,12.84687,NA
2020-04-30,PA,Moju,city,1,0,TRUE,82094,1504703,1.21812,NA
2020-04-30,PA,Monte Alegre,city,5,0,TRUE,58032,1504802,8.61594,NA
